gene1_name,gene2_name,cell_line,label
5809,189,A375,0
2043,5809,A375,0
6966,5809,A375,0
1057,5809,A375,0
2429,5809,A375,0
5809,3249,A375,0
80,5809,A375,0
5809,568,A375,0
4323,5809,A375,0
108,5809,A375,0
5809,866,A375,0
5809,1558,A375,0
3380,5809,A375,0
5809,2836,A375,0
5809,400,A375,0
1831,5809,A375,0
5809,438,A375,0
9633,5809,A375,0
536,5809,A375,0
554,5809,A375,0
5631,5809,A375,0
5809,418,A375,0
554,189,A375,0
554,2043,A375,0
554,6966,A375,0
1057,554,A375,0
2429,554,A375,0
554,3249,A375,0
554,80,A375,0
4323,554,A375,0
554,108,A375,0
554,866,A375,0
554,1558,A375,0
3380,554,A375,0
554,400,A375,0
554,1831,A375,0
554,438,A375,0
9633,554,A375,0
536,554,A375,0
5631,554,A375,0
554,418,A375,0
2836,189,A375,0
2043,2836,A375,0
6966,2836,A375,0
1057,2836,A375,0
2429,2836,A375,0
2836,3249,A375,0
4323,2836,A375,0
108,2836,A375,0
866,2836,A375,0
1558,2836,A375,0
3380,2836,A375,0
400,2836,A375,0
1831,2836,A375,0
2836,438,A375,0
9633,2836,A375,0
536,2836,A375,0
5631,2836,A375,0
418,2836,A375,0
80,189,A375,0
80,2043,A375,0
80,6966,A375,0
1057,80,A375,0
2429,80,A375,0
4323,80,A375,0
80,108,A375,0
80,866,A375,0
80,1558,A375,0
3380,80,A375,0
80,400,A375,0
80,438,A375,0
9633,80,A375,0
536,80,A375,0
5631,80,A375,0
80,418,A375,0
108,189,A375,0
108,2043,A375,0
108,6966,A375,0
1057,108,A375,0
2429,108,A375,0
108,3249,A375,0
108,568,A375,0
4323,108,A375,0
108,866,A375,0
108,1558,A375,0
3380,108,A375,0
108,400,A375,0
108,1831,A375,0
108,438,A375,0
9633,108,A375,0
536,108,A375,0
5631,108,A375,0
108,418,A375,0
3380,189,A375,0
3380,2043,A375,0
3380,6966,A375,0
1057,3380,A375,0
3380,2429,A375,0
3380,3249,A375,0
3380,568,A375,0
3380,4323,A375,0
3380,866,A375,0
3380,1558,A375,0
3380,400,A375,0
3380,1831,A375,0
3380,438,A375,0
3380,9633,A375,0
3380,536,A375,0
3380,5631,A375,0
3380,418,A375,0
536,189,A375,0
536,2043,A375,0
