gene1_name,gene2_name,cell_line,label
BCL2L11,HRK,A549,0
BCL2,MTOR,A549,1
BRAF,BRCA2,A549,0
GAPDH,RPIA,A549,0
BCL2,MET,A549,0
GATA3,PIK3CA,A549,0
SRC,VEGFA,A549,0
CDK9,TP53,A549,0
GOT1,PDHA1,A549,0
FLT3,GATA3,A549,0
PIK3R1,SETD2,A549,0
BAK1,PMAIP1,A549,0
HK2,RPIA,A549,0
EPHA1,EPHA4,A549,0
BRAF,VEGFA,A549,0
KIT,RB1,A549,0
ALDOC,PGAM2,A549,0
MTOR,ROR1,A549,0
ALK,CDK6,A549,0
CDK4,FGFR2,A549,0
ERBB2,RUNX1,A549,0
BCL2,CDK9,A549,0
BRCA2,SETD2,A549,0
ENO3,FBP1,A549,0
BRCA2,PIK3R1,A549,0
APC,HDAC1,A549,1
ASMT,ASMTL,A549,0
ROR1,VHL,A549,0
BCL2L10,MAPK1,A549,0
MET,VEGFA,A549,0
CHEK2,HSP90AA1,A549,0
UBB,WEE1,A549,0
HK1,PGD,A549,0
CASP3,CASP7,A549,0
GOT2,LDHC,A549,0
KCNB2,KCNV1,A549,0
ADA,ATM,A549,0
AKT1,BRCA1,A549,0
CDKN2A,MAP2K1,A549,1
DHFR,EGFR,A549,0
ADA,SMO,A549,0
MCL1,WEE1,A549,0
FBP1,TPI1,A549,0
BPGM,PGAM2,A549,0
RB1,SMO,A549,0
FBP2,PFKM,A549,0
UBE2D1,UBE2D2,A549,0
ABL1,ABL2,A549,0
BIRC2,XIAP,A549,0
ERBB2,ERBB3,A549,0
G6PD,PGD,A549,0
ENO1,PFKM,A549,0
PDIA3,PDIA4,A549,0
CDK6,SMO,A549,0
ERBB2,WEE1,A549,0
HK3,PKLR,A549,0
PACSIN1,PACSIN3,A549,0
CASP8,NF1,A549,0
ME2,PGAM1,A549,0
FNTA,SMARCB1,A549,0
GAPDH,ME1,A549,0
PPP1R10,PRR3,A549,0
H6PD,PFKL,A549,0
ABL1,ROR1,A549,0
RUNX1,SETD2,A549,0
BRAF,KIT,A549,0
KDM6A,TYMS,A549,0
FBP1,GAPDH,A549,0
AKT1,BCL2L10,A549,0
CDK10,CDK11B,A549,0
PLCB1,PLCB2,A549,0
ATM,KMT2D,A549,0
PFKP,PKLR,A549,0
HK3,TALDO1,A549,0
GATA3,MAP3K1,A549,1
ABL1,HDAC6,A549,0
CDKN1B,MAP3K1,A549,0
AKT2,BCL2L1,A549,0
IGF1R,VEGFA,A549,0
ENO3,PGAM1,A549,0
BRCA2,SMARCB1,A549,0
ARID1A,MET,A549,0
BRCA2,NF1,A549,0
MAPK10,MAPK8,A549,0
DUSP6,DUSP9,A549,0
NF1,VHL,A549,0
ALDOC,LDHB,A549,0
BTK,FGFR3,A549,0
TRIM24,TRIM33,A549,0
PKM,RPE,A549,0
CDK9,JAK2,A549,0
TLK1,TLK2,A549,0
JAK2,PIK3R1,A549,0
CDH1,KMT2D,A549,0
ALK,ROR1,A549,0
GATA3,PBRM1,A549,0
IGF1R,SRC,A549,0
ABL1,IGF1R,A549,0
MFGE8,NRP1,A549,0
CDK4,MSH6,A549,0
PTEN,VHL,A549,0
PDHA1,PKLR,A549,0
ILF3,STRBP,A549,0
CHEK1,MAPK1,A549,0
FLT3,PIK3CA,A549,0
LDHA,PGAM1,A549,0
MAP3K1,TYMS,A549,0
AKT1,CDH1,A549,0
AKT1,EGFR,A549,0
H6PD,ME1,A549,0
ENO2,GAPDHS,A549,0
GOT1,MDH2,A549,0
DGAT2,MOGAT2,A549,0
FBP2,G6PD,A549,0
CDKN1B,RUNX1,A549,0
APC,PIK3CA,A549,0
EGFR,FLT3,A549,0
BRCA2,PTEN,A549,0
BPGM,PGAM4,A549,0
FLT3,TYMS,A549,0
DHFR,TYMS,A549,0
BCL2L1,MAPK3,A549,0
ALK,MAP3K1,A549,1
RRM2,RUNX1,A549,0
RPS6KB1,SGK1,A549,0
ALDOC,PDHX,A549,0
DLAT,ME2,A549,0
HK3,LDHB,A549,0
KCNC1,KCNC4,A549,0
PDHB,TPI1,A549,0
ADA,PRKDC,A549,0
PIK3CA,VHL,A549,0
KIT,PDGFRA,A549,0
RB1,RUNX1,A549,0
CDK6,EGFR,A549,1
PFKM,RPE,A549,0
CDK9,HSP90AA1,A549,0
PARP1,TP53,A549,0
ENO3,ME1,A549,0
ERBB2,SMARCB1,A549,0
PFKL,PGK1,A549,0
CDK9,SMAD4,A549,1
CHEK1,FLT3,A549,0
APC,WEE1,A549,1
BCL2A1,MTOR,A549,0
CDK4,FLT3,A549,0
PIK3R1,RRM2,A549,0
MET,SRC,A549,0
PBRM1,SMARCB1,A549,0
CDKN2A,FGFR3,A549,0
BCL2L10,MAP2K2,A549,0
ADA,BRCA2,A549,0
ALDOA,GOT1,A549,0
ATP6V0D1,ATP6V0D2,A549,0
BRAF,HSP90AA1,A549,0
MTOR,SMARCB1,A549,0
ENO3,TALDO1,A549,0
ABL1,SRC,A549,0
KDM6A,SMARCB1,A549,0
AK5,CMPK1,A549,0
PBRM1,PRKDC,A549,1
VEGFA,VHL,A549,0
HK2,PKM,A549,0
ALDOC,GOT2,A549,0
GAPDH,PFKL,A549,0
MLH1,PIK3R1,A549,0
ALK,CDK4,A549,0
ENO1,PFKP,A549,0
CHEK1,SETD2,A549,0
CHEK1,MTOR,A549,0
HDAC6,KIT,A549,0
HDAC6,JAK2,A549,0
PDHB,PDHX,A549,0
ERBB2,PARP1,A549,0
PIK3CA,WEE1,A549,0
PTEN,WEE1,A549,0
BCL2L14,BID,A549,0
ALK,BRCA2,A549,0
ENO2,RPE,A549,0
ARID2,IGF1R,A549,0
SMO,VHL,A549,0
FLT3,TSC1,A549,0
ERBB2,FLT3,A549,1
CHEK2,SETD2,A549,0
TRAF3,TRAF5,A549,0
G6PD,PDHB,A549,0
BCL2L14,BIK,A549,0
MDH1,RPIA,A549,0
BRCA2,TP53,A549,0
CDH1,EGFR,A549,0
BRCA2,SMARCA4,A549,0
FBP1,GOT1,A549,0
GOT1,LDHC,A549,0
KMT2D,SMARCB1,A549,0
KCND2,KCND3,A549,0
ALDOC,ENO3,A549,0
HK3,LDHC,A549,0
PGD,PGK1,A549,0
BCL2L1,UBB,A549,0
NF1,SMARCB1,A549,0
CDKN1B,JAK2,A549,0
APC,SMO,A549,1
HDAC6,VEGFA,A549,0
CDKN1B,HDAC6,A549,0
KCNB1,KCNB2,A549,0
AKT2,HSP90AA1,A549,0
GOT2,H6PD,A549,0
ALDOA,TPI1,A549,0
BTK,SMARCB1,A549,0
PDHA1,TPI1,A549,0
CDKN1B,CHEK1,A549,0
HSP90AA1,JAK2,A549,0
BCL2,SMO,A549,0
CDK9,NF1,A549,0
ENO1,TPI1,A549,0
BRAF,RB1,A549,0
SETD2,SMO,A549,0
G6PD,PFKM,A549,0
APC,RRM2,A549,0
CSNK1A1L,TTBK2,A549,0
PFKL,RPE,A549,0
KCNC1,KCNC3,A549,0
ENO2,PKLR,A549,0
AKT1,AKT2,A549,0
BCL2L1,PARP2,A549,0
ENO1,RPIA,A549,0
ARID2,BRD4,A549,1
BCL2,CDKN2A,A549,0
LDHC,TALDO1,A549,0
CDK6,WEE1,A549,0
POLR2A,POLR3A,A549,0
PBRM1,SRC,A549,0
PFKL,RPIA,A549,0
CDKN1B,SMARCA4,A549,0
FGFR3,HDAC6,A549,0
MSH6,SMARCA4,A549,0
MTOR,UBC,A549,0
ALDOB,PDHA1,A549,0
CDH1,FLT3,A549,0
AKT2,UBB,A549,0
ALDOB,HK2,A549,0
ENO1,TKT,A549,0
TRIM22,TRIM6,A549,0
ATM,PTEN,A549,0
LDHA,PFKL,A549,0
KCNG3,KCNV2,A549,0
FBP1,PGK2,A549,0
LDHB,PDHX,A549,0
CHEK1,KMT2D,A549,0
MAP2K2,WEE1,A549,0
FNTA,RUNX1,A549,0
UBE2NL,UBE2S,A549,0
YWHAQ,YWHAZ,A549,0
ARID2,CDKN2A,A549,1
CHEK2,EGFR,A549,0
AKT1,VEGFA,A549,0
JAK2,RPS6KB1,A549,0
APC,FNTA,A549,0
ENO2,PGAM1,A549,0
CSNK1G2,CSNK1G3,A549,0
DLD,HK1,A549,0
GNL3,GNL3L,A549,0
BCL2,BRCA1,A549,0
HDAC6,MTOR,A549,0
MAP2K1,RRM2,A549,0
BRCA2,TSC1,A549,0
ARID1A,CASP8,A549,0
CHEK2,KDM6A,A549,0
ENO3,PDHA2,A549,0
MAP3K1,TP53,A549,0
BRAF,RAF1,A549,0
MET,WEE1,A549,0
GATA3,MLH1,A549,0
LDHB,PKLR,A549,0
HSP90AA1,PTEN,A549,0
ATM,SMARCA4,A549,0
ABL1,ADA,A549,0
PRKDC,VHL,A549,0
CHEK1,RPS6KB1,A549,0
CDK6,RPS6KB1,A549,0
JAK2,PBRM1,A549,0
BRD4,HSP90AA1,A549,0
ALDOA,MDH1,A549,0
