gene1_name,gene2_name,cell_line,label
MRPS27,SKIV2L,Jurkat,0.0
SAP18,SLC7A1,Jurkat,0.0
NUDC,SCO1,Jurkat,0.0
POLR3A,PPP2R1A,Jurkat,0.0
EIF3H,PSMD6,Jurkat,0.0
ARL2,MRPS5,Jurkat,0.0
BUB3,DDX18,Jurkat,0.0
AATF,FIP1L1,Jurkat,0.0
PMF1,PPWD1,Jurkat,0.0
LONP1,TRPM7,Jurkat,0.0
MRPL11,MRPL36,Jurkat,0.0
EXOSC4,RPF2,Jurkat,0.0
EIF3C,PAXBP1,Jurkat,0.0
PPP2R1A,SPAG7,Jurkat,0.0
RPL28,TFB1M,Jurkat,0.0
GNL3L,TCOF1,Jurkat,0.0
MED24,PSMD4,Jurkat,1.0
RPA3,ZNF511,Jurkat,0.0
MRPS21,PRMT5,Jurkat,0.0
LARS2,NDUFA9,Jurkat,0.0
ELP4,RFC4,Jurkat,0.0
GTF3C3,PRMT5,Jurkat,0.0
GTPBP4,TGIF2,Jurkat,0.0
EMC1,TAF1,Jurkat,0.0
PNN,RBBP8,Jurkat,0.0
POLD1,RPL23,Jurkat,0.0
IMPDH2,MCM3,Jurkat,0.0
MAPKAP1,PWP1,Jurkat,0.0
RBM25,RPL23,Jurkat,0.0
RAE1,SSBP1,Jurkat,0.0
MRPL22,RPL23,Jurkat,0.0
MED1,MRPS25,Jurkat,0.0
GFER,ROMO1,Jurkat,1.0
CDK1,RPTOR,Jurkat,0.0
POLR3A,PSMC1,Jurkat,0.0
MRPL24,NIP7,Jurkat,0.0
EMC7,VPS29,Jurkat,0.0
FIP1L1,MRPL32,Jurkat,0.0
METAP2,PTCD3,Jurkat,0.0
RPS18,SMNDC1,Jurkat,0.0
MRPS10,NAMPT,Jurkat,0.0
GTF3C3,GTPBP4,Jurkat,0.0
RPL23,RPL3,Jurkat,0.0
MED1,METTL17,Jurkat,0.0
ARGLU1,LEO1,Jurkat,0.0
PPIE,RBBP8,Jurkat,0.0
DHX37,EFR3A,Jurkat,0.0
CDC26,PPIE,Jurkat,0.0
COX16,EIF2B5,Jurkat,0.0
EIF3H,POLR2B,Jurkat,0.0
DUT,SMNDC1,Jurkat,0.0
AURKA,RPSA,Jurkat,0.0
PRMT5,TIMM22,Jurkat,0.0
CDK1,REXO2,Jurkat,0.0
EFR3A,MRPL42,Jurkat,0.0
MRPS9,NAMPT,Jurkat,0.0
HYPK,PTCD3,Jurkat,0.0
BUB3,MRPL32,Jurkat,0.0
DYNC1H1,SNRNP70,Jurkat,0.0
BTF3,MRPS27,Jurkat,0.0
TIMM22,ZMAT5,Jurkat,0.0
COPE,EIF3C,Jurkat,0.0
MRPL15,RFC4,Jurkat,0.0
NOLC1,WDR36,Jurkat,0.0
RPL27,SRFBP1,Jurkat,0.0
CSTF3,GTF3C3,Jurkat,0.0
PTCD3,RBM17,Jurkat,0.0
DHODH,ZNHIT6,Jurkat,0.0
DICER1,GTF3C3,Jurkat,0.0
CCT8,EEF1G,Jurkat,0.0
POLR3A,SKIV2L,Jurkat,0.0
NDUFA8,NFYC,Jurkat,0.0
MAX,MRPL3,Jurkat,0.0
DAP3,TRPM7,Jurkat,0.0
EBNA1BP2,SNRNP70,Jurkat,0.0
COPS4,RAE1,Jurkat,0.0
GNL3L,UBA3,Jurkat,0.0
ANKZF1,PSMC1,Jurkat,0.0
BTF3,PDSS2,Jurkat,0.0
COPE,MRPS27,Jurkat,0.0
RPL27,TUBGCP5,Jurkat,0.0
PDSS2,TCOF1,Jurkat,0.0
CAMLG,RPL10,Jurkat,0.0
RBBP8,SNRNP200,Jurkat,0.0
SNRNP70,TUBGCP5,Jurkat,0.0
EFR3A,TTC4,Jurkat,0.0
CEP192,DYNC1H1,Jurkat,0.0
INTS5,ZNF830,Jurkat,0.0
COX7C,WDR61,Jurkat,0.0
DLST,SFXN1,Jurkat,0.0
CENPK,TUBGCP3,Jurkat,0.0
NOL10,OGFOD1,Jurkat,0.0
CDK12,SSB,Jurkat,0.0
ATP6V1G1,ZNHIT6,Jurkat,0.0
PPP2R1A,RBM17,Jurkat,0.0
ARIH1,POLN,Jurkat,0.0
DHODH,SSBP1,Jurkat,0.0
COX5A,PRIM2,Jurkat,0.0
MRPL18,NACA,Jurkat,0.0
ACTR10,RPL32,Jurkat,0.0
GEMIN4,MED23,Jurkat,0.0
ARL2,ATP1A1,Jurkat,0.0
HCCS,MCM4,Jurkat,0.0
DICER1,WARS2,Jurkat,0.0
FAM98B,PAXBP1,Jurkat,0.0
CACTIN,TUBGCP5,Jurkat,0.0
DNTTIP2,MRPL27,Jurkat,0.0
ZMAT5,ZNF511,Jurkat,0.0
CACTIN,POLN,Jurkat,0.0
RBM17,ROMO1,Jurkat,0.0
BTF3,RPL3,Jurkat,0.0
COPE,COQ2,Jurkat,0.0
CHMP2A,FARSA,Jurkat,0.0
MED10,PPWD1,Jurkat,0.0
EIF6,MRPS5,Jurkat,0.0
