gene1_name,gene2_name,cell_line,label
AARS2,AFG3L2,Jurkat,0
AARS2,ARGLU1,Jurkat,0
AARS2,CENPW,Jurkat,0
AARS2,EBNA1BP2,Jurkat,0
AARS2,EXOSC2,Jurkat,0
AARS2,GTF2H4,Jurkat,0
AARS2,INTS3,Jurkat,0
AARS2,MBTPS2,Jurkat,0
AARS2,NDUFA2,Jurkat,0
AARS2,NEMF,Jurkat,0
AARS2,NOL10,Jurkat,0
AARS2,PPIE,Jurkat,0
AARS2,PSMC2,Jurkat,0
AARS2,PSMD12,Jurkat,0
AARS2,RPL24,Jurkat,0
AARS2,RPL28,Jurkat,0
AARS2,RPP30,Jurkat,0
AARS2,RPTOR,Jurkat,0
AARS2,SEH1L,Jurkat,0
AARS2,SLC7A6OS,Jurkat,0
AARS2,SNAPC1,Jurkat,0
AARS2,SNRNP200,Jurkat,0
AARS2,SRFBP1,Jurkat,0
AARS2,STXBP4,Jurkat,0
AARS2,ZMAT5,Jurkat,0
AATF,BTF3,Jurkat,0
AATF,CEP192,Jurkat,0
AATF,COX16,Jurkat,0
AATF,COX7C,Jurkat,0
AATF,CTNNBL1,Jurkat,0
AATF,DNTTIP2,Jurkat,0
AATF,EIF5B,Jurkat,0
AATF,EMC7,Jurkat,0
AATF,GNL2,Jurkat,0
AATF,GNPAT,Jurkat,0
AATF,GPN3,Jurkat,0
AATF,GTF3C3,Jurkat,0
AATF,LARS2,Jurkat,0
AATF,MCM4,Jurkat,0
AATF,MED28,Jurkat,0
AATF,MFAP1,Jurkat,0
AATF,MRPL33,Jurkat,0
AATF,MRPL36,Jurkat,0
AATF,NACA,Jurkat,0
AATF,PNN,Jurkat,0
AATF,RPL10,Jurkat,0
AATF,RPL11,Jurkat,0
AATF,RPL30,Jurkat,0
AATF,RPL32,Jurkat,0
AATF,SNRNP70,Jurkat,0
AATF,TOMM22,Jurkat,0
AATF,TRMT5,Jurkat,0
AATF,USE1,Jurkat,0
AATF,WDR7,Jurkat,0
AATF,ZNF830,Jurkat,0
ACTL6A,BNIP1,Jurkat,0
ACTL6A,CDC16,Jurkat,0
ACTL6A,DCTN4,Jurkat,0
ACTL6A,DHX37,Jurkat,0
ACTL6A,EEF1G,Jurkat,0
ACTL6A,EXOSC4,Jurkat,0
ACTL6A,FAM98B,Jurkat,0
ACTL6A,HUS1,Jurkat,0
ACTL6A,INTS3,Jurkat,0
ACTL6A,LARS2,Jurkat,0
ACTL6A,METAP2,Jurkat,0
ACTL6A,MRPL15,Jurkat,0
ACTL6A,MRPL22,Jurkat,0
ACTL6A,MRPL24,Jurkat,0
ACTL6A,MRPL42,Jurkat,0
ACTL6A,MRPS18A,Jurkat,0
ACTL6A,MZT1,Jurkat,0
ACTL6A,NCBP1,Jurkat,0
ACTL6A,NDUFA2,Jurkat,0
ACTL6A,NDUFB2,Jurkat,0
ACTL6A,NUP85,Jurkat,0
ACTL6A,PNN,Jurkat,0
ACTL6A,POLR2K,Jurkat,0
ACTL6A,PPP2R1A,Jurkat,0
ACTL6A,PSMC1,Jurkat,0
ACTL6A,PSMD12,Jurkat,0
ACTL6A,PTTG1,Jurkat,0
ACTL6A,RAD51,Jurkat,0
ACTL6A,RFC4,Jurkat,0
ACTL6A,RFC5,Jurkat,0
ACTL6A,RPL28,Jurkat,0
ACTL6A,RPL3,Jurkat,0
ACTL6A,RPL35,Jurkat,0
ACTL6A,RPP38,Jurkat,0
ACTL6A,RPS28,Jurkat,0
ACTL6A,RRM1,Jurkat,0
ACTL6A,SFXN1,Jurkat,0
ACTL6A,TAF1A,Jurkat,0
ACTL6A,TRRAP,Jurkat,0
ACTL6A,WDR36,Jurkat,0
ACTL6A,WDR7,Jurkat,0
ACTR10,CENPK,Jurkat,0
ACTR10,CENPW,Jurkat,1
ACTR10,COX7C,Jurkat,0
ACTR10,DCTN4,Jurkat,1
ACTR10,FARSA,Jurkat,0
ACTR10,GNL2,Jurkat,0
ACTR10,MCM3,Jurkat,0
ACTR10,MED1,Jurkat,0
ACTR10,MED14,Jurkat,0
ACTR10,MRPL11,Jurkat,0
ACTR10,MRPL46,Jurkat,0
ACTR10,MRPS21,Jurkat,0
ACTR10,MRPS23,Jurkat,0
ACTR10,MRPS5,Jurkat,0
ACTR10,MTPAP,Jurkat,0
ACTR10,NCAPD2,Jurkat,0
ACTR10,NOLC1,Jurkat,0
ACTR10,POLN,Jurkat,1
ACTR10,PPAT,Jurkat,0
ACTR10,PPIE,Jurkat,0
ACTR10,PSMB7,Jurkat,0
ACTR10,RPS27A,Jurkat,0
ACTR10,SAP18,Jurkat,0
ACTR10,SDHC,Jurkat,0
ACTR10,SFXN1,Jurkat,0
ACTR10,SKA3,Jurkat,1
ACTR10,SNIP1,Jurkat,0
ACTR10,SSBP1,Jurkat,0
ACTR10,TRA2B,Jurkat,1
ACTR10,TRPM7,Jurkat,0
ACTR10,TTC4,Jurkat,0
ACTR10,TUBGCP3,Jurkat,0
ACTR10,VPS29,Jurkat,0
ADAT2,ARL2,Jurkat,1
ADAT2,BDP1,Jurkat,0
ADAT2,CEP192,Jurkat,0
ADAT2,DCTN4,Jurkat,0
ADAT2,DDX46,Jurkat,0
ADAT2,EFR3A,Jurkat,0
ADAT2,EIF2B5,Jurkat,0
ADAT2,EIF4A1,Jurkat,0
ADAT2,EMC4,Jurkat,0
ADAT2,METAP2,Jurkat,0
ADAT2,MRPL3,Jurkat,0
ADAT2,MRPL39,Jurkat,0
ADAT2,MRPL42,Jurkat,0
ADAT2,MRPL46,Jurkat,0
ADAT2,MRPS30,Jurkat,0
ADAT2,MRPS35,Jurkat,0
ADAT2,PFAS,Jurkat,0
ADAT2,PSMB6,Jurkat,0
ADAT2,PSMB7,Jurkat,0
ADAT2,PSMD6,Jurkat,0
ADAT2,PTCD3,Jurkat,0
ADAT2,RBFA,Jurkat,0
ADAT2,RBM25,Jurkat,0
ADAT2,RFC4,Jurkat,0
ADAT2,RPF2,Jurkat,0
ADAT2,RPL10,Jurkat,0
ADAT2,RPL3,Jurkat,0
ADAT2,RPP38,Jurkat,0
ADAT2,RPSA,Jurkat,0
ADAT2,SNRPB,Jurkat,0
ADAT2,SYVN1,Jurkat,0
ADAT2,TFB1M,Jurkat,0
ADAT2,TGIF2,Jurkat,0
ADAT2,TIMM9,Jurkat,0
ADAT2,TRA2B,Jurkat,0
ADAT2,UBA3,Jurkat,0
ADAT2,USE1,Jurkat,1
ADAT2,ZNF830,Jurkat,0
AFG3L2,CARS2,Jurkat,0
AFG3L2,CDC40,Jurkat,0
AFG3L2,CDK12,Jurkat,0
AFG3L2,COPS4,Jurkat,0
AFG3L2,DDX18,Jurkat,0
AFG3L2,EIF3H,Jurkat,0
AFG3L2,FAM98B,Jurkat,0
AFG3L2,MED24,Jurkat,0
AFG3L2,MED28,Jurkat,0
AFG3L2,MRPL33,Jurkat,0
AFG3L2,MRPL35,Jurkat,0
AFG3L2,NCAPD2,Jurkat,0
AFG3L2,NOLC1,Jurkat,0
AFG3L2,PAXBP1,Jurkat,0
AFG3L2,PDRG1,Jurkat,0
AFG3L2,PITRM1,Jurkat,1
AFG3L2,RAD51,Jurkat,0
AFG3L2,RAE1,Jurkat,0
AFG3L2,TCF25,Jurkat,0
AFG3L2,TIMM9,Jurkat,0
AFG3L2,UBA2,Jurkat,0
AFG3L2,ZNF511,Jurkat,0
AFG3L2,ZNRD1,Jurkat,0
ANKZF1,ASCC3,Jurkat,0
ANKZF1,CENPK,Jurkat,0
ANKZF1,DUT,Jurkat,0
ANKZF1,EIF5B,Jurkat,0
ANKZF1,GTF3C3,Jurkat,0
ANKZF1,HCCS,Jurkat,0
ANKZF1,IMPDH2,Jurkat,0
ANKZF1,MRPL15,Jurkat,0
ANKZF1,MRPL18,Jurkat,0
ANKZF1,MRPS14,Jurkat,0
ANKZF1,NFYC,Jurkat,0
ANKZF1,NUDC,Jurkat,0
ANKZF1,NUP54,Jurkat,0
ANKZF1,POLR2K,Jurkat,0
ANKZF1,RBFA,Jurkat,0
ANKZF1,RPL10,Jurkat,0
ANKZF1,RPSA,Jurkat,0
ANKZF1,SEH1L,Jurkat,0
ANKZF1,SNRPB,Jurkat,0
ANKZF1,TAF1,Jurkat,0
ANKZF1,TBCB,Jurkat,0
ANKZF1,VPS29,Jurkat,0
ANKZF1,WDR36,Jurkat,0
ARGLU1,ARL2,Jurkat,0
ARGLU1,CAMLG,Jurkat,0
ARGLU1,CDC27,Jurkat,0
ARGLU1,CDK1,Jurkat,0
ARGLU1,EIF3M,Jurkat,0
ARGLU1,EMC4,Jurkat,0
ARGLU1,IMPDH2,Jurkat,0
ARGLU1,MAPKAP1,Jurkat,0
ARGLU1,MCM3,Jurkat,0
ARGLU1,MED10,Jurkat,0
ARGLU1,MRPS9,Jurkat,0
ARGLU1,NOC2L,Jurkat,0
ARGLU1,NUP54,Jurkat,0
ARGLU1,PFAS,Jurkat,0
ARGLU1,POLR2K,Jurkat,0
ARGLU1,PRIM2,Jurkat,0
ARGLU1,RAE1,Jurkat,0
ARGLU1,REXO2,Jurkat,0
ARGLU1,RNGTT,Jurkat,0
ARGLU1,RPL11,Jurkat,0
ARGLU1,RPP38,Jurkat,0
ARGLU1,SAP18,Jurkat,0
ARGLU1,SKIV2L,Jurkat,0
ARGLU1,SRFBP1,Jurkat,0
ARGLU1,TRA2B,Jurkat,0
ARGLU1,TTC4,Jurkat,0
ARIH1,ARL2,Jurkat,0
ARIH1,AURKA,Jurkat,0
ARIH1,CAMLG,Jurkat,0
ARIH1,DAP3,Jurkat,0
ARIH1,DICER1,Jurkat,1
ARIH1,EIF3C,Jurkat,0
ARIH1,EIF4A1,Jurkat,0
ARIH1,EXOSC6,Jurkat,0
ARIH1,FDPS,Jurkat,1
ARIH1,FIP1L1,Jurkat,0
ARIH1,HSCB,Jurkat,0
ARIH1,HUS1,Jurkat,1
ARIH1,HYPK,Jurkat,0
ARIH1,INTS5,Jurkat,0
ARIH1,MED14,Jurkat,0
ARIH1,MED17,Jurkat,0
ARIH1,MED23,Jurkat,0
ARIH1,MRPS21,Jurkat,0
ARIH1,MRPS5,Jurkat,0
ARIH1,NAT10,Jurkat,0
ARIH1,OGFOD1,Jurkat,0
ARIH1,PGD,Jurkat,0
ARIH1,PNN,Jurkat,0
ARIH1,POLR2B,Jurkat,0
ARIH1,PPP2R1A,Jurkat,0
ARIH1,PSPH,Jurkat,0
ARIH1,RAE1,Jurkat,0
ARIH1,RBFA,Jurkat,0
ARIH1,RFC5,Jurkat,0
ARIH1,RINT1,Jurkat,0
ARIH1,RPL10,Jurkat,1
ARIH1,RPL24,Jurkat,0
ARIH1,RPL5,Jurkat,0
ARIH1,SSB,Jurkat,0
ARIH1,TAF1A,Jurkat,0
ARIH1,TIMM22,Jurkat,0
ARIH1,TIPIN,Jurkat,1
ARIH1,TTC4,Jurkat,0
ARIH1,WDR36,Jurkat,0
ARIH1,WDR7,Jurkat,0
ARIH1,YTHDC1,Jurkat,0
ARIH1,ZNRD1,Jurkat,0
ARL2,AURKA,Jurkat,1
ARL2,BDP1,Jurkat,0
ARL2,CACTIN,Jurkat,0
ARL2,CAPZB,Jurkat,0
ARL2,CDK1,Jurkat,0
ARL2,CEP192,Jurkat,1
ARL2,COX16,Jurkat,0
ARL2,DDX46,Jurkat,0
ARL2,DHX37,Jurkat,0
ARL2,EIF6,Jurkat,1
ARL2,GNPAT,Jurkat,0
ARL2,GTPBP4,Jurkat,0
ARL2,KCTD10,Jurkat,0
ARL2,KDM1A,Jurkat,1
ARL2,LEO1,Jurkat,1
ARL2,MED9,Jurkat,0
ARL2,MRPL32,Jurkat,0
ARL2,MRPS14,Jurkat,0
ARL2,MRPS9,Jurkat,0
ARL2,NDUFA2,Jurkat,0
ARL2,NDUFA9,Jurkat,0
ARL2,NFYC,Jurkat,1
ARL2,NUP43,Jurkat,0
ARL2,PAXBP1,Jurkat,0
ARL2,PITRM1,Jurkat,0
