From	To
P04217	NP_570602.2
A8K2U0	NP_001269353.1
A8K2U0	XP_016874359.1
U3KPV4	NP_001073907.1
Q9UNA3	NP_057245.1
Q9UNA3	XP_016862032.1
Q9UNA3	XP_016862033.1
Q6P093	NP_997248.2
Q5VUY0	NP_001096640.2
Q4W5N8	NP_001273611.1
Q4W5N8	NP_001273612.1
Q4W5N8	NP_057312.1
Q4W5N8	NP_872603.1
Q9H7C9	NP_001303886.1
Q9H7C9	NP_001303889.1
Q9H7C9	NP_001303890.1
Q9H7C9	NP_001303891.1
Q9H7C9	NP_078960.1
Q9H7C9	XP_011543271.1
Q4LEZ3	NP_001020528.1
Q5JTZ9	NP_065796.1
Q8WWZ4	NP_525021.3
Q86UK0	NP_056472.2
Q86UK0	NP_775099.2
A0A0A0MT16	NP_689914.3
Q9NRK6	NP_036221.2
Q5T3U5	NP_001185863.1
Q5T3U5	NP_258261.2
Q96J66	NP_115972.2
Q96J66	NP_149163.2
Q96J66	NP_660187.1
Q96J66	XP_016879284.1
Q96J66	XP_016879285.1
Q96J66	XP_016879286.1
Q96J66	XP_016879287.1
Q96J66	XP_016879288.1
Q96J66	XP_016879289.1
A0A2R8Y5D8	XP_011518633.1
Q9UBJ2	NP_005155.1
Q9UBJ2	XP_011536329.1
P28288	NP_001116146.1
P28288	NP_002849.1
A0A140VJD1	NP_115993.3
Q9NUJ1	NP_001258998.1
Q9NUJ1	NP_060864.1
Q9NUJ1	XP_011511262.1
Q7Z5M8	NP_001193602.1
Q7Z5M8	NP_853511.2
Q7Z5M8	NP_861535.1
Q7L211	NP_116248.2
Q7L211	XP_011519430.1
Q9BUJ0	NP_056222.2
Q6UXT9	NP_937790.2
Q9H3Z7	NP_542189.1
Q5VST6	NP_001020951.1
Q5VST6	NP_057098.2
Q5VST6	XP_006717197.2
Q5VST6	XP_016870276.1
Q5VST6	XP_016870277.1
Q5VST6	XP_016870278.1
P08910	NP_008942.3
P08910	NP_690888.1
P08910	XP_005254889.1
P08910	XP_005254890.1
P08910	XP_011519467.1
B6VEX4	NP_001171594.1
Q9P2A4	NP_001128658.1
Q9P2A4	NP_057512.1
P42684	NP_001129472.1
P42684	NP_001129473.1
P42684	NP_001161708.1
P42684	NP_001161709.1
P42684	NP_001161710.1
P42684	NP_001161711.1
P42684	NP_005149.4
P42684	NP_009298.1
P42684	XP_005245145.1
Q8N0Z2	NP_631905.1
Q9P1F3	NP_067066.1
Q9P1F3	XP_016866640.1
Q15018	NP_115558.3
Q9ULW3	NP_037507.1
Q8N961	NP_665803.2
P42765	NP_006102.2
Q9UKU7	NP_055199.1
P28330	NP_001599.1
P16219	NP_000008.1
P16219	NP_001289483.1
A0A0S2Z3P9	NP_001600.1
B3KPA6	NP_001257377.1
H0YMF1	XP_006720482.1
Q15027	NP_055531.1
P35610	NP_001239440.1
P35610	NP_001239441.1
P35610	NP_003092.4
P35610	XP_011508213.1
O75908	NP_003569.1
Q9H3P7	NP_073572.2
A0A0S2Z5W7	XP_006722148.1
B7Z2R7	NP_001258441.1
Q9BR61	NP_115736.1
Q8N6N7	NP_001034933.1
Q8TDN7	NP_597999.1
Q5QJU3	NP_001010887.2
Q5QJU3	XP_005251505.1
Q5QJU3	XP_016870183.1
P25106	NP_064707.1
P25106	XP_005246154.1
P25106	XP_005246155.1
P25106	XP_016860005.1
Q9NPB9	NP_057641.1
Q9NPB9	NP_848540.1
A0A0S2Z681	NP_001294912.1
A0A0S2Z681	XP_005263645.1
A0A0S2Z681	XP_011508894.1
A0A0S2Z681	XP_016858814.1
A0A0S2Z681	XP_016858815.1
